MES,FECHA,PROVINCIA,CONFIRMADOS,CONF_ACUM
04/2020,01/04/2020,ENTRE RÍOS,1,1094
04/2020,01/04/2020,MENDOZA,10,1104
04/2020,01/04/2020,NEUQUÉN,4,1108
04/2020,01/04/2020,SALTA,2,1110
04/2020,01/04/2020,SAN LUIS,1,1111
04/2020,01/04/2020,SANTA CRUZ,10,1121
04/2020,01/04/2020,SANTA FE,11,1132
04/2020,01/04/2020,TUCUMÁN,1,1133
04/2020,02/04/2020,CABA,24,1157
04/2020,02/04/2020,BUENOS AIRES,36,1193
04/2020,02/04/2020,TIERRA DEL FUEGO,24,1217
04/2020,02/04/2020,CÓRDOBA,16,1233
04/2020,02/04/2020,SANTA FE,8,1241
04/2020,02/04/2020,NEUQUÉN,4,1245
04/2020,02/04/2020,TUCUMÁN,4,1249
04/2020,02/04/2020,CHACO,3,1252
04/2020,02/04/2020,LA RIOJA,3,1255
04/2020,02/04/2020,SAN LUIS,2,1257
04/2020,02/04/2020,JUJUY,2,1259
04/2020,02/04/2020,ENTRE RÍOS,2,1261
04/2020,02/04/2020,SANTA CRUZ,2,1263
04/2020,02/04/2020,SANTIAGO DEL ESTERO,1,1264
04/2020,02/04/2020,CORRIENTES,1,1265
